Index,p_t,q_t,cluster_safety_t,q_cluster_t,Action,Y_t,Success,FP,FN,Misclassified,SSM decision,Weakest Link decision
2616,0.2522071599960327,4.859885407419722e-42,0.23928057407166128,2.617311944606087e-29,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2617,0.3124951422214508,3.3155246194985795e-18,0.6758993864104342,0.00029220517893051236,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2618,0.28653010725975037,1.599955415078345e-25,0.5690215020191522,3.6996930998499782e-09,OFFLOADED,1.0,No,1.0,1.0,0.0,False,False
2619,0.2996772825717926,1.7215774485021026e-21,0.4726928198227917,1.7386962944365945e-15,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2620,0.33420330286026,1.185333795283884e-14,0.3377979568032053,2.8729565731641253e-24,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2621,0.6871359944343567,0.31728934611325005,0.6562791866155564,2.9538643842347574e-05,OFFLOADED,0.0,Yes,0.0,0.0,0.0,False,False
2622,0.6771916151046753,0.26053788963046376,0.81612457607668,0.3330461811004708,OFFLOADED,1.0,No,1.0,1.0,1.0,False,True
2623,0.30897173285484314,4.933316285544685e-19,0.9726343732064978,0.9999984014132798,OFFLOADED,1.0,No,1.0,0.0,0.0,False,True
2624,0.3074372708797455,1.8970507610872094e-19,0.5631693233799827,1.4700923420401013e-09,OFFLOADED,1.0,No,1.0,0.0,0.0,False,False
2625,0.25528430938720703,3.823479473466196e-40,0.6728562307950878,0.00017642171296056573,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2626,0.2611788809299469,6.604556358473986e-36,0.10857457047365571,1.6580771622523781e-31,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2627,0.4974675476551056,0.00015135148911931168,0.7304528876674594,0.020568492543603913,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2628,0.25195515155792236,2.319815495129641e-42,0.12951685298052998,1.9276259173375215e-31,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2629,0.3224545121192932,1.1435438133060485e-16,0.3127027596878254,5.427471940078307e-26,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2630,0.5136001706123352,0.00031200595598978675,0.7380908465051406,0.02889750449120476,OFFLOADED,1.0,No,1.0,1.0,0.0,False,False
2631,0.8453205823898315,0.9810853762931275,0.49217240525389955,2.4098707654004804e-14,OFFLOADED,1.0,No,1.0,1.0,1.0,True,False
2632,0.2854142189025879,4.4316573941402985e-26,0.5416348106046357,4.109037358932848e-11,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2633,0.38267478346824646,1.8709036094360964e-10,0.5140305189857085,5.306520298737877e-13,OFFLOADED,1.0,No,0.0,1.0,1.0,False,False
2634,0.8988326191902161,0.9991066117512999,0.9793044252188591,0.9999996087774439,ACCEPTED,0.0,Yes,0.0,0.0,0.0,True,True
